e_id;geo_name;loc;geonamesid;time;time_norm;actor
1962;Taunus;[u'50.23333333 8.45'];2823801;772;0772-01-01;Schinderhannes
1963;Rheingau-Taunus-Kreis;[u'50.148402777778 8.0732638888889'];3220989;772;0772-01-01;Schinderhannes
1964;Hesse;[u'50.666111111111 8.5911111111111'];2905330;772;0772-01-01;Schinderhannes
1965;India;[u'21 78'];1269750;2008;2008-01-01;Gauhar Raza
1966;India;[u'21 78'];1269750;2008;2008-01-01;Bhagat Singh
1967;India;[u'21 78'];1269750;2008;2008-01-01;Zohra Sehgal
1968;India;[u'21 78'];1269750;2008;2008-01-01;Agnivesh
1969;India;[u'21 78'];1269750;2008;2008-01-01;Kuldip Nayar
1970;India;[u'21 78'];1269750;2008;2008-01-01;Bipan Chandra
1971;India;[u'21 78'];1269750;2008;2008-01-01;K. N. Panikkar
1972;India;[u'21 78'];1269750;2008;2008-01-01;Shantha Sinha
1973;India;[u'21 78'];1269750;2008;2008-01-01;Urvashi Butalia
1974;Lahore;[u'31.549722222222 74.343611111111'];1172451;2008;2008-01-01;Gauhar Raza
1975;Banga, India;[u'31.19 75.99'];1277338;2008;2008-01-01;Gauhar Raza
1976;Kolkata;[u'22.541111111111 88.337777777778'];1275004;2008;2008-01-01;Gauhar Raza
1977;Kanpur;[u'26.4725 80.331111111111'];1267995;2008;2008-01-01;Gauhar Raza
1978;Amritsar;[u'31.616666666667 74.85'];1278710;2008;2008-01-01;Gauhar Raza
1979;Ancient Rome;[u'41.89 12.48'];;1814;1814-01-01;Johann Wolfgang von Goethe
1980;Wiesbaden;[u'50.082083333333 8.2413611111111'];2809346;1813;1813-01-01;Johann Wolfgang von Goethe
1981;River Orwell;[u'51.966666666667 1.3'];2640882;1540;1540-01-01;James VI and I
1982;Felixstowe;[u'51.961 1.3576'];2649579;1540;1540-01-01;James VI and I
1983;Suffolk;[u'52.166666666667 1'];2636561;1540;1540-01-01;James VI and I
1984;Harwich;[u'51.935277777778 1.2625'];2647383;1540;1540-01-01;James VI and I
1985;Essex;[u'51.75 0.58333333333333'];2649889;1540;1540-01-01;James VI and I
1986;Battle of Landguard Fort;[u'51.9389 1.32111'];;1540;1540-01-01;James VI and I
1987;Gemünden, Westerwaldkreis;[u'50.558888888889 8.0177777777778'];6554207;879;0879-01-01;Gebhard, Count of the Lahngau
